Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Closing Amt ,Latest Physical ,Physical Qty,Physical Amt,Variance Qty,Variance Amt,Variance Percent,PhysicalGain/Loss Qty ,Amt ,Actual Consumption ,Amt ,Ideal Closing Qty ,Amt ,Physical Adjusted Closing Qty ,Amt
Coffee Island AIPL,Coffee Island AIPL Main Store,CAP0000041,Bose Iza 190Hz Mixer Amplifier,MUSIC SYSTEM,CAPEX,0,01-06-2025,0,PCS..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000050,Syrup - Brown Butter,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,0.73,01-06-2025,0,GM,0,4550,3304,0,0,0,0,0,0,4550,3304,4550,3304,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000047,Syrup- Roasted Hazelnut,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,755.2,01-06-2025,0,BTL(1L/1300GM),0,3,2265.6,0,0,0,0,0,0,3,2265.6,3,2265.6,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000046,Syrup - Irish,RM BEVERAGES - SYRUP/SAUCE,RAW MATERIAL,755.2,01-06-2025,0,BTL(1L/1300GM),0,3,2265.6,0,0,0,0,0,0,3,2265.6,3,2265.6,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,CAP0000064,Screen Content Management Services,DIGITAL MENU BOARD,CAPEX,4130,01-06-2025,0,PCS..,0,5,20650,0,0,0,0,0,0,5,20650,5,20650,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,CAP0000265,Installation,DIGITAL MENU BOARD,CAPEX,1180,01-06-2025,0,PCS,0,7,8260,0,0,0,0,0,0,7,8260,7,8260,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000008,Popping Boba - Passionfruit,RM BEVERAGES - BOBA,RAW MATERIAL,961.61,01-06-2025,0,JAR(2KG/1280GM),0,5.078,4883.2,0,0,0,0,0,0,5.078,4883.2,5.078,4883.2,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0.12,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000009,Popping Boba - Peach,RM BEVERAGES - BOBA,RAW MATERIAL,961.61,01-06-2025,0,JAR(2KG/1280GM),0,5.078,4883.2,0,0,0,0,0,0,5.078,4883.2,5.078,4883.2,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0.12,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000007,Popping Boba - Cafe,RM BEVERAGES - BOBA,RAW MATERIAL,961.61,01-06-2025,0,JAR(2KG/1280GM),0,5.078,4883.2,0,0,0,0,0,0,5.078,4883.2,5.078,4883.2,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0.12,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RAW0000010,Crema - Base - Rich Cream (Whip Topping),RM BEVERAGES - GARNISHING,RAW MATERIAL,0.21,01-06-2025,0,GM,0,24000,4956,0,0,0,0,0,0,24000,4956,24000,4956,0,0,0,0,0,0,30-06-2025,0,0,-,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,
