  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Total Charges,Net Sale,GST @5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","South","MSFT Hyd",2026-01-02,"TAKEAWAY",332.00,138,24755.03,0.00,0.00,24755.03,1237.87,1237.86,25992.89,-5.89,25987.00,0.00,
"-","-","South","MSFT Hyd",2026-01-02,"DINE IN",5.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-05,"TAKEAWAY",296.00,126,20941.59,0.00,0.00,20941.59,1047.08,1047.07,21988.66,-8.66,21980.00,0.00,
"-","-","South","MSFT Hyd",2026-01-06,"TAKEAWAY",317.00,131,21948.21,0.00,0.00,21948.21,1097.47,1097.46,23045.67,-7.67,23038.00,0.00,
"-","-","South","MSFT Hyd",2026-01-07,"TAKEAWAY",396.00,168,29422.37,0.00,0.00,29422.37,1471.16,1471.15,30893.52,-11.52,30882.00,0.00,
"-","-","South","MSFT Hyd",2026-01-07,"DINE IN",9.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-08,"TAKEAWAY",353.00,141,25201.82,0.00,0.00,25201.82,1260.21,1260.20,26462.02,-10.02,26452.00,0.00,
"-","-","South","MSFT Hyd",2026-01-08,"DINE IN",5.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-09,"TAKEAWAY",434.00,186,32579.90,0.00,0.00,32579.90,1629.12,1629.11,34209.01,-6.01,34203.00,0.00,
"-","-","South","MSFT Hyd",2026-01-09,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-12,"TAKEAWAY",341.00,140,23060.57,0.00,0.00,23060.57,1153.08,1153.07,24213.64,-8.64,24205.00,0.00,
"-","-","South","MSFT Hyd",2026-01-13,"TAKEAWAY",347.00,141,23803.62,0.00,0.00,23803.62,1190.29,1190.28,24993.90,-8.90,24985.00,0.00,
"-","-","South","MSFT Hyd",2026-01-13,"DINE IN",4.00,4,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-14,"TAKEAWAY",458.00,188,32514.04,0.00,0.00,32514.04,1625.83,1625.82,34139.86,-9.86,34130.00,0.00,
"-","-","South","MSFT Hyd",2026-01-14,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-15,"TAKEAWAY",403.00,158,28223.56,0.00,0.00,28223.56,1411.32,1411.30,29634.86,-6.86,29628.00,0.00,
"-","-","South","MSFT Hyd",2026-01-15,"DINE IN",2.00,1,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-16,"TAKEAWAY",449.00,165,31809.97,0.00,0.00,31809.97,1590.64,1590.63,33400.60,-4.60,33396.00,0.00,
"-","-","South","MSFT Hyd",2026-01-19,"TAKEAWAY",365.00,139,24137.76,0.00,0.00,24137.76,1206.96,1206.94,25344.70,-6.70,25338.00,0.00,
"-","-","South","MSFT Hyd",2026-01-20,"TAKEAWAY",446.00,177,31460.48,0.00,0.00,31460.48,1573.18,1573.17,33033.65,-11.65,33022.00,0.00,
"-","-","South","MSFT Hyd",2026-01-21,"TAKEAWAY",360.00,146,26080.80,0.00,0.00,26080.80,1304.07,1304.05,27384.85,-9.85,27375.00,0.00,
"-","-","South","MSFT Hyd",2026-01-21,"DINE IN",4.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-22,"TAKEAWAY",365.00,155,25475.25,0.00,0.00,25475.25,1273.86,1273.85,26749.10,-10.10,26739.00,0.00,
"-","-","South","MSFT Hyd",2026-01-23,"TAKEAWAY",408.00,172,30246.01,0.00,0.00,30246.01,1512.49,1512.48,31758.49,-8.49,31750.00,0.00,
"-","-","South","MSFT Hyd",2026-01-23,"DINE IN",5.00,5,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-27,"TAKEAWAY",278.00,120,19964.67,0.00,0.00,19964.67,998.25,998.24,20962.91,-8.91,20954.00,0.00,
"-","-","South","MSFT Hyd",2026-01-27,"DINE IN",3.00,3,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-28,"TAKEAWAY",342.00,134,22970.52,0.00,0.00,22970.52,1148.65,1148.64,24119.16,-7.16,24112.00,0.00,
"-","-","South","MSFT Hyd",2026-01-29,"TAKEAWAY",324.00,138,23385.06,0.00,0.00,23385.06,1169.37,1169.36,24554.42,-5.42,24549.00,0.00,
"-","-","South","MSFT Hyd",2026-01-29,"DINE IN",2.00,2,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,
"-","-","South","MSFT Hyd",2026-01-30,"TAKEAWAY",458.00,171,32996.37,0.00,0.00,32996.37,1650.02,1650.00,34646.37,-7.37,34639.00,0.00,

